brockn,watcher,https://github.com/apache/parquet-java/issues/1495,I_kwDOATt8NM6NJZJu,PARQUET-54
jcoveney,watcher,https://github.com/apache/parquet-java/issues/1498,I_kwDOATt8NM6NJZJ9,PARQUET-55
lukasnalezenec,watcher,https://github.com/apache/parquet-java/issues/1498,I_kwDOATt8NM6NJZJ9,PARQUET-55
julienledem,watcher,https://github.com/apache/parquet-java/issues/1500,I_kwDOATt8NM6NJZKE,PARQUET-56
scottjab,watcher,https://github.com/apache/parquet-java/issues/1500,I_kwDOATt8NM6NJZKE,PARQUET-56
brockn,watcher,https://github.com/apache/parquet-java/issues/1500,I_kwDOATt8NM6NJZKE,PARQUET-56
brockn,watcher,https://github.com/apache/parquet-java/issues/1502,I_kwDOATt8NM6NJZKP,PARQUET-57
julienledem,watcher,https://github.com/apache/parquet-java/issues/1502,I_kwDOATt8NM6NJZKP,PARQUET-57
rdblue,watcher,https://github.com/apache/parquet-format/issues/264,I_kwDOATt8M86NJGMc,PARQUET-58
julienledem,watcher,https://github.com/apache/parquet-format/issues/264,I_kwDOATt8M86NJGMc,PARQUET-58
rdblue,watcher,https://github.com/apache/parquet-java/issues/1396,I_kwDOATt8NM6NJZBS,PARQUET-59
jcoveney,watcher,https://github.com/apache/parquet-java/issues/1503,I_kwDOATt8NM6NJZKV,PARQUET-60
tsdeng,watcher,https://github.com/apache/parquet-java/issues/1504,I_kwDOATt8NM6NJZKY,PARQUET-61
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1504,I_kwDOATt8NM6NJZKY,PARQUET-61
rdblue,watcher,https://github.com/apache/parquet-java/issues/1506,I_kwDOATt8NM6NJZKj,PARQUET-62
julienledem,watcher,https://github.com/apache/parquet-java/issues/1506,I_kwDOATt8NM6NJZKj,PARQUET-62
rdblue,watcher,https://github.com/apache/parquet-java/issues/1507,I_kwDOATt8NM6NJZKo,PARQUET-63
julienledem,watcher,https://github.com/apache/parquet-java/issues/1507,I_kwDOATt8NM6NJZKo,PARQUET-63
rdblue,watcher,https://github.com/apache/parquet-java/issues/1513,I_kwDOATt8NM6NJZLO,PARQUET-64
brockn,watcher,https://github.com/apache/parquet-java/issues/1513,I_kwDOATt8NM6NJZLO,PARQUET-64
julienledem,watcher,https://github.com/apache/parquet-java/issues/1513,I_kwDOATt8NM6NJZLO,PARQUET-64
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1514,I_kwDOATt8NM6NJZLU,PARQUET-65
julienledem,watcher,https://github.com/apache/parquet-java/issues/1515,I_kwDOATt8NM6NJZLZ,PARQUET-66
zivanfi,watcher,https://github.com/apache/parquet-java/issues/1398,I_kwDOATt8NM6NJZBh,PARQUET-67
julienledem,watcher,https://github.com/apache/parquet-java/issues/1398,I_kwDOATt8NM6NJZBh,PARQUET-67
julienledem,watcher,https://github.com/apache/parquet-java/issues/1517,I_kwDOATt8NM6NJZLl,PARQUET-69
rdblue,watcher,https://github.com/apache/parquet-java/issues/1517,I_kwDOATt8NM6NJZLl,PARQUET-69
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1517,I_kwDOATt8NM6NJZLl,PARQUET-69
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1525,I_kwDOATt8NM6NJZMG,PARQUET-70
tongjiechen ,watcher,https://github.com/apache/parquet-java/issues/1525,I_kwDOATt8NM6NJZMG,PARQUET-70
julienledem,watcher,https://github.com/apache/parquet-java/issues/1525,I_kwDOATt8NM6NJZMG,PARQUET-70
liancheng,watcher,https://github.com/apache/parquet-java/issues/1525,I_kwDOATt8NM6NJZMG,PARQUET-70
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1399,I_kwDOATt8NM6NJZBm,PARQUET-71
julienledem,watcher,https://github.com/apache/parquet-java/issues/1399,I_kwDOATt8NM6NJZBm,PARQUET-71
jfarrell,watcher,https://github.com/apache/parquet-format/issues/262,I_kwDOATt8M86NJGMS,PARQUET-72
rdblue,watcher,https://github.com/apache/parquet-format/issues/262,I_kwDOATt8M86NJGMS,PARQUET-72
julienledem,watcher,https://github.com/apache/parquet-format/issues/262,I_kwDOATt8M86NJGMS,PARQUET-72
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1528,I_kwDOATt8NM6NJZMZ,PARQUET-73
rdblue,watcher,https://github.com/apache/parquet-java/issues/1528,I_kwDOATt8NM6NJZMZ,PARQUET-73
zhenxiao,watcher,https://github.com/apache/parquet-java/issues/1531,I_kwDOATt8NM6NJZMp,PARQUET-74
julienledem,watcher,https://github.com/apache/parquet-java/issues/1531,I_kwDOATt8NM6NJZMp,PARQUET-74
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1532,I_kwDOATt8NM6NJZMq,PARQUET-75
julienledem,watcher,https://github.com/apache/parquet-java/issues/1532,I_kwDOATt8NM6NJZMq,PARQUET-75
SinghAsDev,watcher,https://github.com/apache/parquet-java/issues/1533,I_kwDOATt8NM6NJZMz,PARQUET-76
jkukul,watcher,https://github.com/apache/parquet-java/issues/1533,I_kwDOATt8NM6NJZMz,PARQUET-76
mattpollock,watcher,https://github.com/apache/parquet-java/issues/1533,I_kwDOATt8NM6NJZMz,PARQUET-76
spena,watcher,https://github.com/apache/parquet-java/issues/1533,I_kwDOATt8NM6NJZMz,PARQUET-76
parthchandra,watcher,https://github.com/apache/parquet-java/issues/1534,I_kwDOATt8NM6NJZM5,PARQUET-77
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1534,I_kwDOATt8NM6NJZM5,PARQUET-77
adeneche,watcher,https://github.com/apache/parquet-java/issues/1534,I_kwDOATt8NM6NJZM5,PARQUET-77
saucam,watcher,https://github.com/apache/parquet-java/issues/1534,I_kwDOATt8NM6NJZM5,PARQUET-77
julienledem,watcher,https://github.com/apache/parquet-java/issues/1534,I_kwDOATt8NM6NJZM5,PARQUET-77
parthchandra,watcher,https://github.com/apache/parquet-java/issues/1535,I_kwDOATt8NM6NJZM-,PARQUET-78
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1535,I_kwDOATt8NM6NJZM-,PARQUET-78
julienledem,watcher,https://github.com/apache/parquet-format/issues/265,I_kwDOATt8M86NJGMj,PARQUET-79
dvryaboy,watcher,https://github.com/apache/parquet-format/issues/265,I_kwDOATt8M86NJGMj,PARQUET-79
julienledem,watcher,https://github.com/apache/parquet-java/issues/1536,I_kwDOATt8NM6NJZNE,PARQUET-80
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1539,I_kwDOATt8NM6NJZOa,PARQUET-81
rdblue,watcher,https://github.com/apache/parquet-java/issues/1540,I_kwDOATt8NM6NJZO8,PARQUET-82
